age_group,count,election_type,electoral_district,year
48-53,14049,βουλευτικές,ΦΘΙΩΤΙΔΟΣ,2012
48-53,7757,βουλευτικές,ΦΛΩΡΙΝΗΣ,2012
48-53,3801,βουλευτικές,ΦΩΚΙΔΟΣ,2012
48-53,9785,βουλευτικές,ΧΑΛΚΙΔΙΚΗΣ,2012
48-53,13323,βουλευτικές,ΧΑΝΙΩΝ,2012
48-53,5471,βουλευτικές,ΧΙΟΥ,2012
54-59,22224,βουλευτικές,ΑΙΤΩΛ/ΝΙΑΣ,2012
54-59,9132,βουλευτικές,ΑΡΓΟΛΙΔΟΣ,2012
54-59,11963,βουλευτικές,ΑΡΚΑΔΙΑΣ,2012
54-59,7976,βουλευτικές,ΑΡΤΗΣ,2012
54-59,42781,βουλευτικές,Α'ΑΘΗΝΩΝ,2012
54-59,131353,βουλευτικές,Β'ΑΘΗΝΩΝ,2012
54-59,40961,βουλευτικές,ΝΟΜΟΥ ΑΤΤΙΚΗΣ,2012
54-59,17650,βουλευτικές,Α'  ΠΕΙΡΑΙΩΣ,2012
54-59,24024,βουλευτικές,Β'  ΠΕΙΡΑΙΩΣ,2012
54-59,25417,βουλευτικές,ΑΧΑΪΑΣ,2012
54-59,9930,βουλευτικές,ΒΟΙΩΤΙΑΣ,2012
54-59,4197,βουλευτικές,ΓΡΕΒΕΝΩΝ,2012
54-59,10562,βουλευτικές,ΔΡΑΜΑΣ,2012
54-59,16050,βουλευτικές,ΔΩΔΕΚΑΝΗΣΟΥ,2012
54-59,15703,βουλευτικές,ΕΒΡΟΥ,2012
54-59,18355,βουλευτικές,ΕΥΒΟΙΑΣ,2012
54-59,3150,βουλευτικές,ΕΥΡΥΤΑΝΙΑΣ,2012
54-59,3917,βουλευτικές,ΖΑΚΥΝΘΟΥ,2012
54-59,16806,βουλευτικές,ΗΛΕΙΑΣ,2012
54-59,12660,βουλευτικές,ΗΜΑΘΙΑΣ,2012
54-59,21059,βουλευτικές,ΗΡΑΚΛΕΙΟΥ,2012
54-59,6253,βουλευτικές,ΘΕΣΠΡΩΤΙΑΣ,2012
54-59,46414,βουλευτικές,Α'  ΘΕΣ/ΝΙΚΗΣ,2012
54-59,25146,βουλευτικές,Β'  ΘΕΣ/ΝΙΚΗΣ,2012
54-59,16317,βουλευτικές,ΙΩΑΝΝΙΝΩΝ,2012
54-59,12527,βουλευτικές,ΚΑΒΑΛΑΣ,2012
54-59,12764,βουλευτικές,ΚΑΡΔΙΤΣΗΣ,2012
