appprocesstime,average_speed,countedcars,deviceid
2020-11-06T00:00:00Z,60.38709677419356,2480,MS115
2020-11-06T00:00:00Z,100.4749262536873,13560,MS116
2020-11-06T00:00:00Z,85.8695652173913,920,MS117
2020-11-06T00:00:00Z,102.88110403397033,18840,MS118
2020-11-06T00:00:00Z,65.14814814814812,3240,MS119
2020-11-06T00:00:00Z,98.52595155709339,11560,MS120
2020-11-06T00:00:00Z,41.666666666666664,120,MS121
2020-11-06T00:00:00Z,97.30701754385963,18240,MS122
2020-11-06T00:00:00Z,50.66666666666667,480,MS123
2020-11-06T00:00:00Z,115.57603686635947,8680,MS124
2020-11-06T00:00:00Z,58.44444444444445,2880,MS125
2020-11-06T00:00:00Z,77.13888888888884,20160,MS126
2020-11-06T00:00:00Z,87.1212121212121,17160,MS127
2020-11-06T00:00:00Z,92.41807909604523,7080,MS128
2020-11-06T00:00:00Z,84.2810457516339,12240,MS129
2020-11-06T00:00:00Z,74.62422360248445,12880,MS130
2020-11-06T00:00:00Z,55.08771929824558,4560,MS131
2020-11-06T00:00:00Z,67.7457627118644,4720,MS132
2020-11-06T00:00:00Z,82.88050314465407,12720,MS133
2020-11-06T00:00:00Z,0.0,0,MS134
2020-11-06T00:00:00Z,55.35000000000001,1600,MS140
2020-11-06T00:00:00Z,103.23308270676691,5320,MS141
2020-11-06T00:00:00Z,100.73275862068962,9280,MS142
2020-11-06T00:00:00Z,51.0,80,MS143
2020-11-06T00:00:00Z,102.2072072072072,8880,MS144
2020-11-06T00:00:00Z,57.875,640,MS145
2020-11-06T00:00:00Z,83.08163265306123,1960,MS151
2020-11-06T00:00:00Z,98.61111111111114,1440,MS152
2020-11-06T00:00:00Z,75.14832535885168,8360,MS153
2020-11-06T00:00:00Z,84.01719197707736,13960,MS175
2020-11-06T00:00:00Z,27.272727272727263,1760,MS176
2020-11-06T00:00:00Z,81.12534059945501,14680,MS179
2020-11-06T00:00:00Z,55.12068965517238,4640,MS180
2020-11-06T00:00:00Z,33.02941176470587,2720,MS204
2020-11-06T00:00:00Z,51.300911854103354,13160,MS207
2020-11-06T00:00:00Z,64.32786885245902,7320,MS215
2020-11-06T00:00:00Z,46.32758620689654,2320,MS216
2020-11-06T00:00:00Z,46.626865671641795,10720,MS219
2020-11-06T00:00:00Z,45.2570093457944,8560,MS223
2020-11-06T00:00:00Z,65.2687747035573,10120,MS224
2020-11-06T00:00:00Z,59.56147540983606,9760,MS225
2020-11-06T00:00:00Z,45.26388888888888,14400,MS226
2020-11-06T00:00:00Z,36.81818181818182,4400,MS227
2020-11-06T00:00:00Z,44.30674846625769,6520,MS228
2020-11-06T00:00:00Z,46.56355932203392,9440,MS229
2020-11-06T00:00:00Z,47.32380952380951,8400,MS230
2020-11-06T00:00:00Z,52.63858695652172,14720,MS231
2020-11-06T00:00:00Z,46.24844720496894,6440,MS233
2020-11-06T00:00:00Z,35.24603174603174,10080,MS234
2020-11-06T00:00:00Z,48.34185303514376,12520,MS237
2020-11-06T00:00:00Z,54.44753086419751,12960,MS238
2020-11-06T00:00:00Z,51.669642857142854,13440,MS239
2020-11-06T00:00:00Z,53.66881028938908,12440,MS240
2020-11-06T00:00:00Z,52.9587912087912,14560,MS242
2020-11-06T00:00:00Z,54.14624505928854,10120,MS243
2020-11-06T00:00:00Z,46.993710691823885,12720,MS244
2020-11-06T00:00:00Z,44.44444444444444,3600,MS245
2020-11-06T00:00:00Z,44.53872053872054,11880,MS246
2020-11-06T00:00:00Z,53.0818858560794,16120,MS248
2020-11-06T00:00:00Z,52.95971563981043,16880,MS249
2020-11-06T00:00:00Z,51.15838509316772,12880,MS251
2020-11-06T00:00:00Z,45.89182058047496,15160,MS252
2020-11-06T00:00:00Z,49.77755511022044,19960,MS253
2020-11-06T00:00:00Z,48.488888888888894,16200,MS254
2020-11-06T00:00:00Z,46.40923076923079,13000,MS255
2020-11-06T00:00:00Z,55.50714285714286,11200,MS256
2020-11-06T00:00:00Z,40.67292225201073,14920,MS257
2020-11-06T00:00:00Z,52.72115384615385,16640,MS258
2020-11-06T00:00:00Z,54.3345588235294,10880,MS259
2020-11-06T00:00:00Z,55.74447174447174,16280,MS260
2020-11-06T00:00:00Z,55.05263157894738,13680,MS261
2020-11-06T00:00:00Z,33.13157894736843,3040,MS262
2020-11-06T00:00:00Z,33.73770491803279,2440,MS265
2020-11-06T00:00:00Z,42.969325153374236,6520,MS266
2020-11-06T00:00:00Z,37.62500000000001,4800,MS271
2020-11-06T00:00:00Z,63.101190476190474,13440,MS272
2020-11-06T00:00:00Z,77.49665327978585,29880,MS277
2020-11-06T00:00:00Z,58.494736842105254,15200,MS278
2020-11-06T00:00:00Z,61.616666666666674,21600,MS280
2020-11-06T00:00:00Z,59.62264150943398,14840,MS281
2020-11-06T00:00:00Z,60.83962264150944,8480,MS286
2020-11-06T00:00:00Z,64.56250000000001,6400,MS287
2020-11-06T00:00:00Z,47.112676056338046,2840,MS288
2020-11-06T00:00:00Z,27.29629629629629,2160,MS289
2020-11-06T00:00:00Z,59.51703406813626,19960,MS290
2020-11-06T00:00:00Z,61.35637149028078,18520,MS291
2020-11-06T00:00:00Z,84.50859106529207,11640,MS292
2020-11-06T00:00:00Z,50.75,2240,MS293
2020-11-06T00:00:00Z,55.17543859649121,2280,MS294
2020-11-06T00:00:00Z,83.21782178217816,16160,MS295
